,ks_state,game_name,blurb,game_id,money_pledged,backers_count,location_id,money_goal,month_created,day_created,hour_created,month_launched,day_launched,hour_launched,month_end,day_end,hour_end,month_obtained,day_obtained,date_created_epoch,date_launched_epoch,date_end_epoch
27219,successful,"Indie Nerd Board Game, Needs Player Character Miniature Sculpted!  ","pictured here is the character we would like to sculpt as a high quality game miniature - the Forsaker, a man that has abandoned his sanity to face..",1839304671,1741.02,28,2459115.0,1500,5,15,1,5,15,2,6,15,1,12,13,1242364202,1242369560,1245042600
27393,successful,Lines of Fire: A fantasy battle board game. (Monthly Game Creation Project Sept 2010),"Lines of Fire: a fast-paced battle game, kicks off my monthly Game Creation Project. Thinking outside of the box, production may now be a possibility.",694655492,535.0,26,2383144.0,350,10,22,18,9,1,7,9,30,23,12,13,1256252218,1283342111,1285905540
28668,successful,Inevitable: dystopian tabletop gaming,"Violence!  Betrayal!  Laughs!  Evil supercomputers!  ""Inevitable"" is the game of a future not much bleaker than our own. 30 copies still available...",1889864699,9435.0,101,2367105.0,3000,3,3,12,3,4,14,6,1,12,12,13,1267636201,1267729972,1275408060
27649,successful,"Happy Birthday, Robot!","A storytelling party game for clever kids, gamer parents, and fun classrooms. Each pledge helps send free games to libraries and schools!",866507610,3030.0,110,2464592.0,1050,3,21,8,3,21,14,6,1,0,12,13,1269174182,1269195764,1275368340
27312,successful,Maschine Zeit - A Roleplaying Game,You don't truly know someone until they're bleeding out in front of you. Maschine Zeit's a sci-fi horror RPG homage to the genre of Alien.,928107375,2630.0,45,2471217.0,650,4,4,11,4,4,12,5,1,11,12,13,1270394676,1270399059,1272727440
28956,successful,Alien Frontiers: Retro-Future Sci Fi Board Game,"Deploy your space fleet to the orbital facilities, master alien technologies, and colonize a barren planet in this new board game project.",2065732671,14885.01,228,2397426.0,5000,4,18,15,4,26,22,6,26,3,12,13,1271617421,1272337180,1277535600
27303,successful,HELLAS: Princes of the Universe," HELLAS Await!

The Hellas role-playing game is an exciting fusion of high drama, action-adventure, romance, and mythology-infused space opera!",1462339514,9666.51,164,2436704.0,8700,5,6,20,5,6,22,6,25,20,12,13,1273191780,1273198077,1277511780
28601,successful,Mass Transit II Poster Map,This 2-sided poster for sci-fi miniatures games is professionally illustrated by Christopher West. Funds will be used to pay for the print run.,1646505393,4093.0,134,2434789.0,2500,5,14,15,5,15,10,6,8,23,12,13,1273863834,1273934360,1276055940
28135,successful,Early Dark Tabletop Role-Playing Game,"We want to print Early Dark, our innovative, all-original role-playing game that takes place outside the typical European-Medieval fantasy setting!  ",1799788210,6590.0,143,2357536.0,3200,5,20,12,7,11,23,8,27,18,12,13,1274373789,1278905470,1282946400
27003,successful,1955: The War of Espionage Board Game,1955 is a two player board game where master spies attempt to use covert operations in an attempt to control the world.,1450687074,9202.0,148,2424766.0,7500,6,30,13,11,14,23,1,5,23,12,13,1277918715,1289796470,1294289270
26454,successful,KOOBA: A totally unique new game of skill,"We're launching KOOBA, a unique new dexterity game unlike anything you’ve ever played! Check out our exclusive offers to Kickstarters. Game on!",1657571567,3327.0,48,2487956.0,3000,7,7,15,7,13,12,8,27,23,12,13,1278530769,1279039289,1282967940
28401,successful,Forsaken Lands II Poster Map,This is a pre-order funding drive to help cover the printing costs of my newest 2-sided miniatures-scale poster map! Backers get free shipping!,1455832815,2599.44,96,2434789.0,2000,7,20,1,7,20,2,7,31,23,12,13,1279602905,1279606809,1280635140
28144,successful,Human Contact — a hard SF roleplaying game about humans,A roleplaying game of true science fiction about what and who we are. Inspired by Iain M. Banks' Culture and Ursula K. LeGuin's Ekumen.,29995572,7960.0,248,2461848.0,2400,8,18,13,10,5,16,11,6,16,12,13,1282153997,1286309403,1289074203
28136,successful,"Vampires, Werewolves, Witches, and Fairies: A fun quick card game for 2-10 players","Vampires, Werewolves, Witches and Fairies is a quick, fun card game for 2-10 players with award winning artists and great reviews.",1813076884,7668.01,94,2379574.0,6000,9,14,7,9,14,23,10,31,23,12,13,1284464588,1284520247,1288581047
26582,successful,HonorBound,A ambitious and innovative hybrid of a collectible card game and role playing game. Set thousands of years in the post Human future.,1755998557,10266.0,42,2391279.0,10000,9,14,16,9,14,17,10,31,12,12,13,1284497071,1284500084,1288540800
27320,successful,"Edition Wars, by Gamer Nation Studios","The Edition Wars are in your home town! To prove your edition supreme, you challenge other Gamemasters, each championing their edition",190959801,15100.66,221,2388929.0,7500,9,16,19,2,6,2,3,15,23,12,13,1284679157,1328512039,1331870340
26859,successful,SWM Gamers - Destiny of the Force Virtual Set,The project is to muster the funds to cover printing costs for the Destiny of the Force set.  Destiny of the Force is a 60 card set.,1803683626,3161.0,148,2429939.0,1800,9,22,13,9,22,13,12,1,13,12,13,1285175094,1285178278,1291229878
29066,successful,Eminent Domain: The Next Evolution of Deck Building Games,"Find and colonize planets, harvest resources for trade and research new technology to build the best Empire!  A ""Space Civ-Lite"" Game",422599588,48378.0,699,2508428.0,20000,10,4,23,10,25,9,11,23,23,12,13,1286249649,1288015189,1290571200
29059,successful,Be Part of Table Top Gaming History!,"Adventurers' Atlas  creates maps made for D&D, Star Wars, Heroclix, and many other RPG's and Miniature War games, we sell fo cheap!",1998800017,1269.0,75,2459618.0,1100,10,10,8,11,4,14,1,3,14,12,13,1286713832,1288895377,1294082977
28156,successful,Mob Ties: The Board Game,"Mob Ties is an abstract strategy and negotiation game for three to six players.  Vote for the Don, elude the Feds, and feed your friends to the pigs!",1888130321,12960.0,143,2438841.0,10500,10,12,11,10,19,10,1,17,10,12,13,1286896428,1287499518,1295279118
28899,successful,Gaming Paper Adventures,A new mapping system!  100 pages of amazing preprinted map.   Together they make a 7' x 9' giant map to use with the Citadel of Pain adventure.,866582354,11465.0,262,2412843.0,3500,10,14,6,10,18,22,12,2,22,12,13,1287051687,1287455571,1291347171
26347,successful,1 Piece of artwork for upcoming card game.  42/???,We are looking for your assistance to pay for the 42nd card in our new barely-bible-based card game.,80724094,101.0,7,2475687.0,85,11,9,22,11,10,0,12,10,0,12,13,1289360879,1289366513,1291958513
28652,successful,Cards Against Humanity,Cards Against Humanity is a free party game for horrible people.,1597870404,15570.87,758,2379574.0,4000,11,29,16,12,1,1,1,30,1,12,13,1291065895,1291186569,1296370569
28236,successful,Artwork piece #43/??? for SIN (upcoming card game),"SIN is our first barely-bible-based card game, where the most evil bastard wins.  ",663360534,106.0,7,2475687.0,84,12,14,15,12,21,14,1,19,14,12,13,1292359816,1292960935,1295466535
