,backers_count,blurb,category_id,category_name,category_name_slug,category_position,currency_type,date_created,date_end,date_launched,date_obtained,game_id,game_name,game_name_slug,ks_state,location_id,location_name,money_goal,money_pledged,date_created_epoch,date_launched_epoch,date_end_epoch,year_created,month_created,day_created,hour_created,year_launched,month_launched,day_launched,hour_launched,year_end,month_end,day_end,hour_end,year_obtained,month_obtained,day_obtained
283,1594,You’ve watched Fear Pong turn everyday inebriants into internet legends. Now bring home the game for your own devious delight!,34,Tabletop Games,games/tabletop games,6,USD,2018 04 26 12:33:21,2018 06 09 09:57:54,2018 05 10 09:57:54,2018-05-17,1225096993,Fear Pong: The Game,fear-pong-the-game,live,2490383.0,Seattle,10000,50984.47,1524760401,1525960674,1528552674,2018,4,26,12,2018,5,10,9,2018,6,9,9,2018,05,17
284,29,"A quick, easy-to-learn, fun, and family-friendly board game about tactics, heroes, monsters, and powerful abilities for 2-4 players.",34,Tabletop Games,games/tabletop games,6,USD,2017 10 26 00:59:43,2018 06 09 18:00:00,2018 05 10 02:08:32,2018-05-17,1489479284,City in Peril : A Board Game for Comic Book Hero Fans,city-in-peril-a-board-game-for-comic-book-hero-fan,live,2391279.0,Denver,75000,1378.0,1508993983,1525932512,1528581600,2017,10,26,0,2018,5,10,2,2018,6,9,18,2018,05,17
285,107,"Sky Pirates, Rocketeers, Airskiffs and Dragons! The third generation of Tinker Metal Meeples for your tabletop or desk.",34,Tabletop Games,games/tabletop games,6,USD,2018 04 18 20:45:21,2018 06 10 01:00:00,2018 05 10 02:08:26,2018-05-17,451971747,Tinker Bits III: Scourge of the Skies Metal Meeples,tinker-bits-iii-scourge-of-the-skies-metal-meeples,live,2466151.0,Orem,2222,5059.0,1524098721,1525932506,1528606800,2018,4,18,20,2018,5,10,2,2018,6,10,1,2018,05,17
286,33,Colony 88 - 28mm - 32mm 3D Printable Sci-fi Terrain - OpenLOCK - STL FILES,34,Tabletop Games,games/tabletop games,6,USD,2018 05 09 16:54:11,2018 05 25 19:23:29,2018 05 09 19:23:29,2018-05-17,147773137,Colony 88 - 28mm 3D Printable Sci-fi Terrain - OpenLOCK STL,colony-88-28mm-3d-printable-sci-fi-terrain-openloc,live,30720.0,Nottingham,500,1642.0,1525899251,1525908209,1527290609,2018,5,9,16,2018,5,9,19,2018,5,25,19,2018,05,17
287,135,Adventurers and soldiers try to survive on the battlefields of the first mechanized wars with magic and strange technologies.,34,Tabletop Games,games/tabletop games,6,USD,2018 05 02 16:18:32,2018 06 06 19:22:56,2018 05 09 19:22:56,2018-05-17,751827092,Interbellum RPG - War Adventures in a World of Technomagic,interbellum-rpg-war-adventures-in-a-world-of-techn,live,2113904.0,Yoshkar-Ola,3000,2342.0,1525292312,1525908176,1528327376,2018,5,2,16,2018,5,9,19,2018,6,6,19,2018,05,17
288,13,For those of you who are new to my location modules for 5E and Pathfinder: A way to catch up on the series so far.,34,Tabletop Games,games/tabletop games,6,USD,2018 05 09 03:20:52,2018 06 04 00:00:00,2018 05 09 19:18:15,2018-05-17,1649425628,A Series of Location Modules for 5E and Pathfinder,a-series-of-location-modules-for-5e-and-pathfinder,live,2411141.0,Glendora,20,409.0,1525850452,1525907895,1528084800,2018,5,9,3,2018,5,9,19,2018,6,4,0,2018,05,17
289,18,"""The Artifice Archipelago"" is a ""choose your own ending"" book. You are in charge of a story consisting of over 250 pages + 50 endings!",34,Tabletop Games,games/tabletop games,6,USD,2018 03 25 13:01:56,2018 06 08 16:30:48,2018 05 09 16:30:48,2018-05-17,782214578,"""The Artifice Archipelago"" a choose your own ending novel!",the-artifice-archipelago-a-choose-your-own-ending,live,2487180.0,St. Petersburg,50,111.0,1521997316,1525897848,1528489848,2018,3,25,13,2018,5,9,16,2018,6,8,16,2018,05,17
290,71,MODULAR DUNGEON is a 3D construction kit to bring all your dungeon ideas to life. Extend them now with brand-new designed add-ons!,34,Tabletop Games,games/tabletop games,6,USD,2018 05 07 05:09:24,2018 05 20 16:00:00,2018 05 12 16:18:23,2018-05-17,414769359,MODULAR DUNGEON - The 2nd Level,modular-dungeon-the-2nd-level,live,656958.0,Hamburg,500,10018.0,1525684164,1526156303,1526846400,2018,5,7,5,2018,5,12,16,2018,5,20,16,2018,05,17
291,17,Backers of this particular promotion will be receiving digital-only files for the conversion guide for The Red Hand of Doom.,34,Tabletop Games,games/tabletop games,6,USD,2018 05 12 14:32:29,2018 05 26 15:09:37,2018 05 12 15:09:37,2018-05-17,1116085925,2nd chance for Red Hand of Doom Conversion Guide & Maps!,2nd-chance-for-red-hand-of-doom-conversion-guide-a,live,2400539.0,Eugene,100,222.0,1526149949,1526152177,1527361777,2018,5,12,14,2018,5,12,15,2018,5,26,15,2018,05,17
292,28,“High Pass Chronicles – Hold the Line” is a 5e adventure designed for a group of 1st to 4th level characters by Leave the Silver.,34,Tabletop Games,games/tabletop games,6,USD,2018 05 11 23:41:10,2018 06 11 13:29:21,2018 05 12 13:29:21,2018-05-17,2084368253,High Pass Chronicles - Hold the Line,high-pass-chronicles-hold-the-line,live,2426440.0,Idaho Falls,1000,798.0,1526096470,1526146161,1528738161,2018,5,11,23,2018,5,12,13,2018,6,11,13,2018,05,17
